연번,코스,위치명,위도,경도,소요시간
1,A,ent,37.406063,126.720797,0:00
2,A,cross1,37.406017,126.720135,1:04
3,A,cross2,37.406419,126.719908,1:47
4,A,cross3,37.40663,126.71987,2:26
5,A,mnt,37.407576,126.719651,4:21
6,B,ent,37.405545,126.718207,0:00
7,B,cross1,37.405958,126.718522,1:23
8,B,cross2,37.40646,126.719158,3:46
9,B,cross3,37.40705,126.719269,4:45
10,B,mnt,37.407541,126.719662,8:23
11,C,ent,37.40542,126.711789,0:00
12,C,cross1,37.405502,126.712356,1:20
13,C,cross2,37.407373,126.714569,4:34
14,C,cross3,37.407915,126.718073,9:37
15,C,mnt,37.407541,126.719662,11:04
16,D,ent,37.408542,126.714103,0:00
17,D,cross1,37.407478,126.714609,7:57
18,D,sign,37.407585,126.71701,10:00
19,D,mnt,37.407514,126.719833,13:23
20,E,ent,37.409614,126.715172,0:00
21,E,cross1,37.407547,126.717278,9:00
22,E,"sign1,2",37.407569,126.716964,9:00
23,E,cross2,37.407825,126.717933,11:00
24,E,"sign3,4",37.408039,126.718506,11:00
25,E,cross3,37.407769,126.719056,11:30
26,E,mnt,37.40755,126.71965,12:20
